"Mese" "In1" "Anno" "Temperatura" "In2"
"April" NA 1940 -0.6047783 NA
"April" NA 1941 -0.806757 NA
"April" NA 1942 -0.80339336 NA
"April" NA 1943 -0.772172 NA
"April" NA 1944 -0.6304369 NA
"April" NA 1945 -0.66435623 NA
"April" NA 1946 -0.6236839 NA
"April" NA 1947 -0.5139208 NA
"April" NA 1948 -0.7420702 NA
"April" NA 1949 -0.73305225 NA
"April" NA 1950 -0.836648 -1.16
"April" NA 1951 -0.71882915 -0.17
"April" NA 1952 -0.7059593 0.34
"April" NA 1953 -0.50220203 0.63
"April" NA 1954 -0.77287674 -0.05
"April" NA 1955 -0.84453773 -0.69
"April" NA 1956 -0.8796396 -0.63
"April" NA 1957 -0.66009617 0.41
"April" NA 1958 -0.53918743 1.27
"April" NA 1959 -0.46754837 0.52
"April" NA 1960 -0.7444658 -0.07
"April" NA 1961 -0.5174122 0.04
"April" NA 1962 -0.59061337 -0.2
"April" NA 1963 -0.7342434 0.15
"April" NA 1964 -0.87139225 0.12
"April" NA 1965 -0.8030367 -0.07
"April" NA 1966 -0.69640446 0.98
"April" NA 1967 -0.65558624 -0.53
"April" NA 1968 -0.6871834 -0.62
"April" NA 1969 -0.4611292 0.95
"April" NA 1970 -0.4808731 0.29
"April" NA 1971 -0.7092209 -1.12
"April" NA 1972 -0.61412716 0.06
"April" NA 1973 -0.41615963 0.54
"April" NA 1974 -0.7592621 -1.23
"April" NA 1975 -0.6411934 -0.65
"April" NA 1976 -0.8217974 -0.73
"April" NA 1977 -0.50898075 0.34
"April" NA 1978 -0.5516424 0.06
"April" NA 1979 -0.5085182 0.2
"April" NA 1980 -0.18407059 0.34
"April" NA 1981 -0.21317005 -0.47
"April" NA 1982 -0.537735 0.19
"April" NA 1983 -0.2767191 1.54
"April" NA 1984 -0.46905327 -0.34
"April" NA 1985 -0.47266388 -0.77
"April" NA 1986 -0.2999115 -0.31
"April" NA 1987 -0.33420658 1.06
"April" NA 1988 -0.18895054 0.14
"April" NA 1989 -0.3149414 -1.08
"April" NA 1990 -0.052470207 0.28
"April" NA 1991 -0.12276268 0.22
"April" NA 1992 -0.4195671 1.48
"April" NA 1993 -0.32597828 0.5
"April" NA 1994 -0.28054428 0.17
"April" NA 1995 -0.11935139 0.53
"April" NA 1996 -0.3444929 -0.59
"April" NA 1997 -0.3279724 -0.1
"April" NA 1998 0.12081814 1.44
"April" NA 1999 -0.30352116 -1.07
"April" NA 2000 -0.08273029 -1.07
"April" NA 2001 -0.15341854 -0.44
"April" NA 2002 -0.063630104 0.09
"April" NA 2003 -0.12009716 0.38
"April" NA 2004 -0.014400482 0.23
"April" NA 2005 0.07043171 0.45
"April" NA 2006 -0.069927216 -0.57
"April" NA 2007 0.17370224 -0.12
"April" NA 2008 -0.126688 -1.29
"April" NA 2009 -0.060088158 -0.61
"April" NA 2010 0.25240517 0.84
"April" NA 2011 0.0136089325 -0.93
"April" NA 2012 0.054305077 -0.59
"April" NA 2013 -0.036406517 -0.34
"April" NA 2014 0.10949421 -0.27
"April" NA 2015 0.056487083 0.53
"April" NA 2016 0.5295439 1.58
"April" NA 2017 0.32820606 0.05
"April" NA 2018 0.3051052 -0.7
"April" NA 2019 0.43720055 0.71
"April" NA 2020 0.52027035 0.4
"April" NA 2021 0.19053555 -0.84
"April" NA 2022 0.2832718 -0.99
"April" NA 2023 0.3205328 -0.15
"April" NA 2024 0.67018795 1.14
"April" NA 2025 0.6011734 -0.18
"August" NA 1940 -0.49912357 NA
"August" NA 1941 -0.47484016 NA
"August" NA 1942 -0.748476 NA
"August" NA 1943 -0.77656364 NA
"August" NA 1944 -0.4685545 NA
"August" NA 1945 -0.33533478 NA
"August" NA 1946 -0.66981125 NA
"August" NA 1947 -0.66395664 NA
"August" NA 1948 -0.5704956 NA
"August" NA 1949 -0.66612244 NA
"August" NA 1950 -0.8166046 -0.54
"August" NA 1951 -0.48820114 0.7
"August" NA 1952 -0.6869316 -0.08
"August" NA 1953 -0.52975655 0.75
"August" NA 1954 -0.80227757 -0.64
"August" NA 1955 -0.5998764 -0.68
"August" NA 1956 -0.88370514 -0.57
"August" NA 1957 -0.5275841 1.25
"August" NA 1958 -0.57756615 0.57
"August" NA 1959 -0.59372425 -0.18
"August" NA 1960 -0.53197956 0.13
"August" NA 1961 -0.54902935 0.14
"August" NA 1962 -0.60115623 -0.04
"August" NA 1963 -0.3528309 0.86
"August" NA 1964 -0.6946621 -0.6
"August" NA 1965 -0.6724491 1.22
"August" NA 1966 -0.5796337 0.24
"August" NA 1967 -0.57115364 0.05
"August" NA 1968 -0.652915 0.58
"August" NA 1969 -0.6583824 0.36
"August" NA 1970 -0.68392754 -0.63
"August" NA 1971 -0.7044306 -0.8
"August" NA 1972 -0.45670414 1.13
"August" NA 1973 -0.6240673 -1.11
"August" NA 1974 -0.62120056 -0.53
"August" NA 1975 -0.83821774 -1.13
"August" NA 1976 -0.75347805 0.18
"August" NA 1977 -0.4668398 0.35
"August" NA 1978 -0.72218895 -0.36
"August" NA 1979 -0.40953922 0.04
"August" NA 1980 -0.28450108 0.25
"August" NA 1981 -0.23632145 -0.3
"August" NA 1982 -0.45393944 0.79
"August" NA 1983 -0.2498312 0.31
"August" NA 1984 -0.4386263 -0.3
"August" NA 1985 -0.39429283 -0.49
"August" NA 1986 -0.4373436 0.22
"August" NA 1987 -0.27093315 1.51
"August" NA 1988 -0.1666317 -1.3
"August" NA 1989 -0.32171345 -0.31
"August" NA 1990 -0.16622066 0.33
"August" NA 1991 -0.13983059 0.73
"August" NA 1992 -0.48837852 0.37
"August" NA 1993 -0.38467598 0.32
"August" NA 1994 -0.38456535 0.44
"August" NA 1995 -0.10714722 -0.24
"August" NA 1996 -0.1117897 -0.27
"August" NA 1997 -0.13426113 1.6
"August" NA 1998 0.1411953 -0.78
"August" NA 1999 -0.23782349 -1.1
"August" NA 2000 -0.1753006 -0.55
"August" NA 2001 -0.051208496 -0.08
"August" NA 2002 -0.04685974 0.79
"August" NA 2003 0.04565239 0.08
"August" NA 2004 -0.1618433 0.47
"August" NA 2005 0.02933693 -0.06
"August" NA 2006 0.07070732 0.1
"August" NA 2007 -0.019002914 -0.56
"August" NA 2008 -0.07928467 -0.37
"August" NA 2009 0.04493332 0.45
"August" NA 2010 0.045850754 -1.05
"August" NA 2011 0.11047745 -0.48
"August" NA 2012 0.07608986 0.25
"August" NA 2013 0.054332733 -0.4
"August" NA 2014 0.13554573 0.05
"August" NA 2015 0.24180412 1.52
"August" NA 2016 0.4007702 -0.36
"August" NA 2017 0.295475 0.14
"August" NA 2018 0.20798874 0.09
"August" NA 2019 0.35555267 0.28
"August" NA 2020 0.26625633 -0.41
"August" NA 2021 0.31062126 -0.4
"August" NA 2022 0.2952137 -0.81
"August" NA 2023 0.7090626 1.07
"August" NA 2024 0.7105751 0.04
"August" NA 2025 0.48949814 -0.17
"December" NA 1940 -0.5999098 NA
"December" NA 1941 -0.691267 NA
"December" NA 1942 -0.8196411 NA
"December" NA 1943 -0.61020374 NA
"December" NA 1944 -0.7618904 NA
"December" NA 1945 -0.8674841 NA
"December" NA 1946 -0.8403959 NA
"December" NA 1947 -0.81565 NA
"December" NA 1948 -0.8968191 NA
"December" NA 1949 -0.67066765 NA
"December" NA 1950 -0.66224575 -0.6
"December" NA 1951 -0.4643774 1.04
"December" NA 1952 -0.70207596 0.04
"December" NA 1953 -0.59537506 0.84
